index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,xpix,ypix,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag,parallax_mas,radial_velocity_kms
701,2542178983451923456,6.0377395889,-0.7826099917,00:24:09.1,-00:46:57.4,538.755,1997.017,6.0377270720,-0.7825792534,4.19179,-10.29491,17.0832,17.5207,16.4803,0.50448,nan
702,2542162490777431040,5.4577141981,-0.8922029158,00:21:49.9,-00:53:31.9,2626.675,1602.560,5.4576911976,-0.8921823023,7.70242,-6.90390,17.0838,17.4002,16.6072,0.33285,nan
703,2542243682839153536,5.1789902564,-0.4497489261,00:20:43.0,-00:26:59.1,3630.133,3195.371,5.1790444972,-0.4496985930,-18.16583,-16.85761,17.0850,18.4232,15.9395,3.83450,nan
704,2542159364041221120,5.4396655275,-0.9786783712,00:21:45.5,-00:58:43.2,2691.632,1291.241,5.4394917062,-0.9786780490,58.20793,-0.10790,17.0859,18.9653,15.8258,7.06098,nan
705,2542238082201818368,5.2662639718,-0.5774044355,00:21:03.9,-00:34:38.7,3315.908,2735.813,5.2662474278,-0.5773828574,5.54063,-7.22697,17.0860,17.4424,16.5683,0.27957,nan
706,2541962001703745024,5.9343591913,-1.0106677753,00:23:44.2,-01:00:38.4,910.972,1176.022,5.9343608193,-1.0106531309,-0.54516,-4.90474,17.0861,17.3902,16.6354,0.38803,nan
707,2542276805627036416,5.6578312626,-0.1478740442,00:22:37.9,-00:08:52.3,1906.295,4282.228,5.6577776092,-0.1479512005,17.96956,25.84127,17.0867,18.4291,15.9546,3.43905,nan
708,2542134968626208512,5.0023427728,-0.7771528598,00:20:00.6,-00:46:37.8,4265.946,2016.604,5.0023185793,-0.7771418565,8.10216,-3.68522,17.0868,17.5244,16.4871,0.58385,nan
709,2541941076623110016,6.1371796015,-1.2103373040,00:24:32.9,-01:12:37.2,180.967,457.047,6.1371415459,-1.2103174790,12.74277,-6.63984,17.0883,17.8035,16.2704,1.03124,nan
710,2542263748926458880,5.7662799176,-0.2018117288,00:23:03.9,-00:12:06.5,1515.866,4088.030,5.7662620717,-0.2017631755,5.97695,-16.26149,17.0901,18.4031,15.9620,3.10180,nan
711,2542172145863909632,5.5362836016,-0.7976112000,00:22:08.7,-00:47:51.4,2343.861,1943.098,5.5361998325,-0.7976101961,28.05332,-0.33622,17.0909,17.9848,16.1664,1.19655,nan
712,2542209769777490432,5.9409116941,-0.4092637356,00:23:45.8,-00:24:33.3,887.213,3341.135,5.9409266510,-0.4092645005,-5.00924,0.25620,17.0921,17.6824,16.3785,0.74091,nan
713,2542199354480034432,5.7379832847,-0.5902987405,00:22:57.1,-00:35:25.1,1617.786,2689.418,5.7379855680,-0.5903022363,-0.76467,1.17082,17.0967,17.6322,16.4094,0.71201,nan
714,2541988389982832384,6.1072233080,-0.8660796488,00:24:25.7,-00:51:57.9,288.654,1696.484,6.1072191594,-0.8660796831,1.38932,0.01149,17.1013,17.5990,16.4664,0.62262,nan
715,2541949597838188416,5.8084923666,-1.2339350523,00:23:14.0,-01:14:02.2,1364.078,372.256,5.8084748600,-1.2339078030,5.86196,-9.12636,17.1015,17.7341,16.3621,1.00585,nan
716,2541954614359991680,5.7790125067,-1.1597464746,00:23:07.0,-01:09:35.1,1470.175,639.362,5.7789294518,-1.1597525652,27.81111,2.03986,17.1045,17.0382,16.1511,0.42597,nan
717,2541939977111484416,6.1858264766,-1.2535373814,00:24:44.6,-01:15:12.7,5.875,301.469,6.1857993207,-1.2535366840,9.09290,-0.23355,17.1109,18.1244,16.1236,1.62824,nan
718,2542135930698882560,4.9957357801,-0.7506085172,00:19:59.0,-00:45:02.2,4289.744,2112.165,4.9957085453,-0.7505931640,9.12075,-5.14210,17.1109,17.4985,16.5606,0.40339,nan
719,2542171561748395264,5.7060434694,-0.7315849074,00:22:49.5,-00:43:53.7,1732.778,2180.789,5.7060486632,-0.7315737193,-1.73937,-3.74713,17.1124,17.5733,16.5109,-0.06451,nan
720,2541949116801851520,5.7368438910,-1.2834023297,00:22:56.8,-01:17:00.2,1621.971,194.176,5.7368756004,-1.2833678345,-10.61749,-11.55316,17.1169,18.3341,16.0302,3.38131,nan
721,2542115727172727552,5.1320749030,-0.9644740130,00:20:31.7,-00:57:52.1,3798.845,1342.280,5.1320565331,-0.9644398158,6.15158,-11.45334,17.1180,17.7247,16.3938,0.72022,nan
722,2541857028407033600,5.5337314611,-1.3341855772,00:22:08.1,-01:20:03.1,2353.025,11.352,5.5337437524,-1.3341633221,-4.11549,-7.45369,17.1194,17.4571,16.6046,0.18973,nan
723,2542265088956222336,5.5166098222,-0.3847975469,00:22:04.0,-00:23:05.3,2414.704,3429.244,5.5166135163,-0.3847991661,-1.23719,0.54231,17.1246,17.5503,16.5538,0.46579,nan
724,2542167094982368128,5.4477713365,-0.8190237212,00:21:47.5,-00:49:08.5,2662.473,1866.006,5.4476578354,-0.8190247456,38.01003,0.34308,17.1278,17.9692,16.2444,1.30638,nan
725,2542254162559422848,5.6744251166,-0.3739331658,00:22:41.9,-00:22:26.2,1846.570,3468.357,5.6744115419,-0.3739064884,4.54635,-8.93483,17.1286,17.4536,16.6494,0.35504,nan
726,2542135209144644224,5.0570625748,-0.7729415890,00:20:13.7,-00:46:22.6,4068.956,2031.791,5.0570348369,-0.7729059644,9.28917,-11.93142,17.1317,17.4293,16.6661,0.36192,nan
727,2542166854464183424,5.3929151472,-0.8191697209,00:21:34.3,-00:49:09.0,2859.937,1865.472,5.3929173219,-0.8191432250,-0.72828,-8.87403,17.1337,17.3767,16.7407,0.17447,nan
728,2542117204641501312,5.2086581269,-0.9340441950,00:20:50.1,-00:56:02.6,3523.177,1451.865,5.2086564627,-0.9340218713,0.55731,-7.47668,17.1339,17.4894,16.6010,0.53295,nan
729,2542120331377666560,5.0537336690,-0.8706555800,00:20:12.9,-00:52:14.4,4080.898,1680.003,5.0537606923,-0.8705809412,-9.04961,-24.99813,17.1342,17.6693,16.4470,0.93940,nan
730,2541955816950830464,5.7317347454,-1.1124155315,00:22:55.6,-01:06:44.7,1640.341,809.772,5.7317518377,-1.1124004466,-5.72347,-5.05225,17.1344,18.1634,16.1105,2.08117,nan
