field,source_id,RA,Dec,mag_nb,mag_bb,line_flux_erg_cm2_s,logL_Lya_erg_s,area_arcsec2,priority
j2259,700,344.8530685229269,14.289968738331275,25.137247,27.090948,3.32579181788978e-17,42.47700502493357,21.414912989961124,3
j2259,526,345.1681540034575,14.009058710277984,25.310652,26.412357,2.165339693118321e-17,42.29063600148186,21.370165306928016,3
j2259,440,345.2681703374251,13.93153462784127,26.113073,27.893593,1.307436219313137e-17,42.07153047626686,21.3600960243454,3
j2259,236,344.9030240776061,13.711718284270445,25.418629,26.497904,1.9370883296129882e-17,42.24225938904403,21.28778300733984,3
j2259,181,345.25268776650654,13.667023627015398,25.575216,26.494263,1.520264648352423e-17,42.1370291611114,21.28178185450854,3
j2259,563,344.4752048677118,14.040685298075378,24.801743,25.795149,3.253725259395169e-17,42.46749084325805,21.24278170520417,3
j2259,323,345.2421240923867,13.791020582683126,25.844032,27.725206,1.710781519666812e-17,42.18830451464856,21.03026310885101,3
j2259,4,344.64186127285853,13.404676981546896,25.252014,26.82135,2.740309186314465e-17,42.39290953099926,20.91562318011865,3
j2259,588,344.8430280686242,14.061634204847596,25.733568,27.769686,1.948106792086945e-17,42.24472272492853,20.78076249323601,3
j2259,40,344.587515783152,13.446993057621308,25.214447,26.008057,1.9245079159820802e-17,42.23942966620311,20.678425261158413,3
j2259,362,344.47465270440915,13.827907287503052,25.468235,26.398043,1.6901168577334732e-17,42.1830266979641,20.66406956056189,3
j2259,235,345.04540746604675,13.710606759965444,25.854206,29.475111,1.9855470760109082e-17,42.25299015276461,20.59752211223701,3
j2259,219,345.02067319260505,13.692752667718432,25.479654,28.36413,2.703023961772881e-17,42.38695986005756,20.59621594399329,3
j2259,569,344.6140404289137,14.046332689379742,25.676664,26.506557,1.2956484736764214e-17,42.067597152167856,20.524390333747814,3
j2259,53,344.7343671225179,13.470262729234316,25.881004,30.04144,1.965155119581015e-17,42.24850680152013,20.50258493335713,3
j2259,128,344.7312746150919,13.546755594437515,25.77035,26.728127,1.3036122909802753e-17,42.07025841092229,20.47533806755576,3
j2259,560,344.60301157248176,14.034337519754498,25.544786,28.396774,2.5398045766667352e-17,42.35991026585364,20.453267447268423,3
j2259,531,344.9616106641621,14.012183698221444,25.763187,27.63815,1.840759457347653e-17,42.220107004854654,20.44653965199624,3
j2259,133,344.5998969363732,13.551218685203208,25.144917,26.670359,2.985925926396667e-17,42.43018899413358,20.43454977897982,3
j2259,208,344.71841567698914,13.68861064518514,25.40767,26.764158,2.215775486018581e-17,42.3006357177004,20.28277739664345,3
j2259,244,344.61371558280416,13.716316417688034,25.325417,26.661163,2.371631753318522e-17,42.33015722080368,20.25337613524105,3
j2259,70,344.94599730381526,13.489610409806264,25.40637,26.199718,1.6123271794037162e-17,42.162563139464055,20.239323571033715,3
j2259,562,344.4687755478983,14.038135118014043,26.147566,27.783836,1.2232377886117605e-17,42.04262085336797,19.900185230792964,3
j2259,477,345.12652446075623,13.974122184215808,25.911156,27.221825,1.3694362968922166e-17,42.09165179906083,19.68448976078871,3
j2259,678,344.96405465573105,14.2589348337562,25.87083,27.144855,1.4004424616859658e-17,42.10137523459228,19.67112988218921,3
j2259,485,344.6101105474575,13.980595564217056,25.76377,27.56746,1.8127720082974752e-17,42.21345315087178,19.57854377847801,3
j2259,58,344.9843691827625,13.473843924285074,25.491257,26.393826,1.6236246344123633e-17,42.16559559642666,19.538546519943065,3
j2259,553,345.28549622593306,14.02935595379636,24.673927,25.473612,3.182524722018828e-17,42.45788175036816,19.532229856596302,3
j2259,465,344.3732235060312,13.961236925003265,25.529226,26.999874,2.060552669942761e-17,42.26909368444368,19.448620068455217,3
j2259,415,344.3482053630461,13.909862329586788,25.686527,26.497988,1.2647768104409184e-17,42.05712385865738,19.407453435521514,3
j2259,720,344.8050833050741,14.324256042392816,25.937572,29.450056,1.831665600317295e-17,42.21795615361173,19.25863038715028,3
j2259,589,344.86934127564206,14.061992300606242,25.39318,26.31418,1.800194456714646e-17,42.21042938446413,19.19737509778256,3
j2259,643,345.1699435316988,14.211661332463002,25.08538,26.55971,3.104797282420058e-17,42.44714321400811,19.113655446705028,3
j2259,458,344.70448491018,13.948116281599129,25.206297,26.543098,2.647703579790681e-17,42.37797932702252,19.095834599666865,3
j2259,76,344.8218096158512,13.49453065852619,25.738071,26.956839,1.5455888002759646e-17,42.144203926483165,19.071826201784283,3
j2259,592,344.80905763922647,14.065050397137352,25.926947,28.419275,1.731544739855641e-17,42.19354368178917,19.049605383553786,3
j2259,379,345.2630969685068,13.856824366154392,24.670803,25.467873,3.184625537637008e-17,42.458168337813525,18.97557792727316,3
j2259,525,344.5627013270516,14.008725989749127,25.607359,26.945072,1.8306059818817444e-17,42.21770484158203,18.95989255219605,3
j2259,306,344.50862827610126,13.775484965134202,25.414476,26.96635,2.3476778529071882e-17,42.32574846741566,18.894677713403688,3
j2259,187,344.6056559672681,13.672520775291243,26.000946,27.243069,1.2256894719726277e-17,42.043490420159806,18.891733929912235,3
j2259,471,344.8215302607396,13.969716648861882,25.620653,28.299356,2.336445987993677e-17,42.32366571022645,18.821315736956382,3
