field,source_id,RA,Dec,mag_nb,mag_bb,line_flux_erg_cm2_s,logL_Lya_erg_s,area_arcsec2,priority
j0022,550,5.143926425085242,-0.5878549363843298,24.421991,26.002548,6.203038936315232e-17,42.72110695168817,25.73625246644165,2
j0022,141,5.474072620771979,-0.9275678087382726,24.220406,25.120329,5.48818898116549e-17,42.6679315019803,25.34761991027922,2
j0022,294,5.637618916069688,-0.807761131218794,24.748379,26.082027,4.235813066896272e-17,42.55543923021808,24.8425181677843,2
j0022,674,5.475670272627346,-0.4053050310377841,24.142164,25.110077,6.175677485922811e-17,42.71918705210098,24.74460931363096,2
j0022,80,5.408755635706552,-1.0751418122876713,24.872648,26.81819,4.4514988290226316e-17,42.57700870792938,24.5038749291631,2
j0022,65,5.4866230209284925,-1.087190372883384,24.524683,25.794453,5.0743565853101465e-17,42.63388342716993,24.014891254609022,2
j0022,749,5.853749512071857,-0.3418806774587207,24.064335,25.689651,8.729097442896639e-17,42.86947178600766,23.43426010076308,2
j0022,792,5.492617527118454,-0.3055478360792995,23.650688,25.064674,1.198535160269289e-16,43.00715322349403,23.324336822204742,2
j0022,18,5.413360620767019,-1.1590483372328322,24.300978,25.758074,6.680402812200516e-17,42.753305094635785,23.31034149260445,2
j0022,66,5.239024305899576,-1.085207070181591,24.068558,24.923658,6.105901690171643e-17,42.71425225199497,23.23496247488886,2
j0022,589,5.519947810733092,-0.5567665149404909,24.324085,25.279318,5.1803091121071005e-17,42.64285811958631,23.143745079573577,2
j0022,644,5.341727115678691,-0.4371952677595271,23.563934,24.645775,1.1247359297178938e-16,42.97955301337048,22.83471516345736,2
j0022,87,5.703737156961753,-1.0721154951278695,24.512648,25.721497,4.9975493401926877e-17,42.62725953500696,22.670114441292004,2
j0022,187,5.730033837410908,-0.88905998250897,24.206118,25.664358,7.293036928339324e-17,42.79141085708086,22.477770882641,2
j0022,499,5.950186221998368,-0.6269954894390826,23.988098,25.678612,9.52142235780714e-17,42.907204274777214,22.452449157639013,2
j0022,568,5.510867455582174,-0.5764815611167778,24.783957,26.51729,4.621895059683968e-17,42.593322525040485,22.25715824693918,2
j0022,542,5.242062080845859,-0.591659650780636,24.41069,26.314041,6.75825638418727e-17,42.75833710779732,22.23322533991144,2
j0022,192,5.121631642870405,-0.885751275802199,24.167608,25.17609,6.186416823979538e-17,42.719941622696176,21.863785403203835,2
j0022,266,5.809312724095451,-0.8293724086572836,24.175158,25.064957,5.680212446960622e-17,42.68286702362416,21.585202476108684,2
j0022,67,5.895385781848511,-1.0847106694103907,24.073217,25.002436,6.414623965577519e-17,42.73567364695346,21.388073166001234,2
j0022,657,5.297185394360118,-0.424118697889664,24.904758,26.29904,3.7500965882401946e-17,42.50254489810699,21.33442113860729,2
j0022,625,5.699161852359948,-0.5335597523983917,24.031063,24.81163,5.94557385915322e-17,42.7026962229828,21.312162033789,2
j0022,320,5.54955082000209,-0.7849767526173075,24.576632,27.329588,6.460083944159475e-17,42.73874060583658,21.1380151969838,2
j0022,818,5.598552792869563,-0.2747795235053772,24.123404,25.600216,7.917501514937903e-17,42.82709059960143,21.061033800062297,2
j0022,338,5.1632452227332735,-0.7717277961888312,24.323969,25.159895,4.7542101135681256e-17,42.60558081603472,20.99764531159241,2
j0022,225,5.916678108596763,-0.8593510251542025,24.257427,25.527563,6.49156337105404e-17,42.74085174552134,20.836663463317915,2
j0022,773,5.559473318332386,-0.3204919004798497,24.969324,27.023077,4.1495086803243474e-17,42.54649912188091,20.57607017729876,2
j0022,684,5.5596009613710295,-0.3942336110193593,24.574669,26.214382,5.476235857960005e-17,42.66698458910847,20.561048597710474,2
