,RA,Dec,Epoch,source_id,Type,priority,Redshift,line_flux_erg_cm2_s
664,5.248062549083739,-0.5365117021479626,J2026.10,617,T,3,3.2,2.1963751996399348e-17
666,5.149257227499918,-0.8434125800020309,J2026.10,254,T,3,3.2,1.4683710146785025e-17
675,5.172964538021685,-0.7261417750625752,J2026.10,381,T,3,3.2,1.5853830105981868e-17
676,5.237794155706172,-0.8878361184869102,J2026.10,189,T,3,3.2,2.6833571285064267e-17
677,5.3443371302707225,-0.848906907947788,J2026.10,245,T,3,3.2,1.5498213632163844e-17
678,5.164756424880572,-0.6038022951692618,J2026.10,527,T,3,3.2,1.892338275699577e-17
681,5.273634642583144,-0.5866816565708289,J2026.10,552,T,3,3.2,1.7988094455903354e-17
683,5.164648096804073,-0.9235027422864996,J2026.10,145,T,3,3.2,1.5160344905902088e-17
686,5.305276121049939,-0.784760369042474,J2026.10,319,T,3,3.2,1.5262179413748225e-17
688,5.35227304318083,-0.7968564270433774,J2026.10,307,T,3,3.2,1.6241441143595584e-17
690,5.121743215452804,-0.8291291516617707,J2026.10,268,T,3,3.2,1.7047841236056188e-17
692,5.143039393046235,-0.7218723071162731,J2026.10,384,T,3,3.2,1.4721997595470544e-17
695,5.125218347860375,-0.7931719104106865,J2026.10,310,T,3,3.2,2.6542252621952987e-17
696,5.235642049564241,-0.9279041003832028,J2026.10,140,T,3,3.2,1.6396041932231988e-17
699,5.185832841095951,-0.6929885776288233,J2026.10,412,T,3,3.2,1.5194457571922213e-17
701,5.468422412093085,-0.7712125112074821,J2026.10,340,T,3,3.2,1.5376057892140692e-17
703,5.167250579322222,-0.5396544199459553,J2026.10,612,T,3,3.2,1.7680062046076116e-17
704,5.1371021058320805,-0.6621914085512305,J2026.10,454,T,3,3.2,2.521276261828988e-17
708,5.156937223951083,-0.7071264768146305,J2026.10,396,T,3,3.2,1.514809136586208e-17
711,5.17300044628241,-0.6074952277732989,J2026.10,523,T,3,3.2,1.8667089696505152e-17
712,5.1455669792136325,-0.748772911273808,J2026.10,364,T,3,3.2,1.6060958323389568e-17
713,5.151052185131637,-0.8684985877503605,J2026.10,212,T,3,3.2,1.6627664722434668e-17
716,5.336286751540477,-0.6253984699829189,J2026.10,501,T,3,3.2,1.9223700000344042e-17
718,5.194440604273592,-0.8255878590102687,J2026.10,273,T,3,3.2,1.4753185624935078e-17
719,5.128992606379838,-0.5843235598800826,J2026.10,553,T,3,3.2,1.4915646075894366e-17
720,5.273286578110698,-0.6131081645520432,J2026.10,514,T,3,3.2,1.4611533581937538e-17
722,5.149622384662427,-0.5316737180237188,J2026.10,629,T,3,3.2,2.143446067372049e-17
727,5.16500171602967,-0.5397830653394515,J2026.10,613,T,3,3.2,2.544062077538516e-17
729,5.238860854496911,-0.8529571643445785,J2026.10,239,T,3,3.2,2.522236363480957e-17
731,5.160878516350056,-0.8395421494281075,J2026.10,257,T,3,3.2,2.419008916700149e-17
733,5.146186567439747,-0.8408384178606527,J2026.10,256,T,3,3.2,2.3332670846251804e-17
734,5.264931068606687,-0.7431109575205751,J2026.10,370,T,3,3.2,2.21694402485346e-17
737,5.131529520971621,-0.7076917310830931,J2026.10,395,T,3,3.2,2.1353746779878124e-17
