RA,Dec,Epoch,source_id,Type,priority,Redshift,line_flux_erg_cm2_s
344.873702055056,13.90567313149361,J2026.10,412,T,2,3.12,5.660600345261892e-17
345.1460788281836,13.810796986855088,J2026.10,351,T,2,3.12,4.2641257191132806e-17
345.0429225448494,13.80260910057132,J2026.10,337,T,2,3.12,7.189370647986264e-17
345.2964466373123,13.788683828674698,J2026.10,320,T,2,3.12,3.730302389835821e-17
345.2396685359553,13.835554882160782,J2026.10,367,T,2,3.12,5.266147712952669e-17
344.9056555409971,13.843944846811556,J2026.10,374,T,2,3.12,4.5192672026469e-17
344.85237977875715,13.946682007779524,J2026.10,456,T,2,3.12,3.7453436982449876e-17
345.0900778691377,13.87661101372612,J2026.10,394,T,2,3.12,5.3068087313795637e-17
345.1803665726546,13.883280026056353,J2026.10,396,T,2,3.12,3.869177700644903e-17
345.2359408562696,13.859802624344749,J2026.10,380,T,2,3.12,6.98947969851741e-17
345.0172715911968,13.700290542181031,J2026.10,226,T,2,3.12,3.797259829635698e-17
345.1200115001307,13.779472519063113,J2026.10,310,T,2,3.12,4.81562737476233e-17
344.9740676301759,13.933117854280171,J2026.10,444,T,2,3.12,5.859392199869291e-17
344.8992114716569,14.002351519440325,J2026.10,517,T,2,3.12,9.676608609387152e-17
344.94441207880016,13.64501002051752,J2026.10,154,T,2,3.12,3.887279191724762e-17
344.9476338164748,13.671244166748377,J2026.10,184,T,2,3.12,3.8503775493733226e-17
345.07636169208826,14.05940343177632,J2026.10,585,T,3,3.12,2.948066604213233e-17
344.9245660391585,13.673256524645232,J2026.10,188,T,3,3.12,2.9178664554124816e-17
344.82328669524856,13.751752229710323,J2026.10,279,T,3,3.12,1.7783167868911298e-17
344.8387111637815,13.923064930877215,J2026.10,426,T,3,3.12,3.454844066224934e-17
344.9354979468,14.013781314475109,J2026.10,534,T,3,3.12,1.93972373292898e-17
344.85202462239863,13.928719795145696,J2026.10,436,T,3,3.12,1.6428553904459842e-17
345.02157107917947,14.047664069253551,J2026.10,574,T,3,3.12,1.6679173265396554e-17
345.1509087308256,13.677186397046064,J2026.10,196,T,3,3.12,2.8736119549609464e-17
344.85484817600485,13.861319095818018,J2026.10,381,T,3,3.12,1.881755159146321e-17
345.170389779533,13.703010566659788,J2026.10,231,T,3,3.12,1.4884854179312528e-17
345.12553877729067,13.732597167379536,J2026.10,262,T,3,3.12,3.427426387641246e-17
345.1007848999627,13.643261352983146,J2026.10,149,T,3,3.12,1.5836689134645604e-17
344.9776014517784,13.728460160243332,J2026.10,258,T,3,3.12,2.358959922873893e-17
345.2000373765095,13.9948580286967,J2026.10,497,T,3,3.12,1.233672866110362e-17
344.9480435955305,14.026623748400636,J2026.10,547,T,3,3.12,2.683217949822464e-17
344.9636477498446,13.97910846550998,J2026.10,484,T,3,3.12,2.7128591869166217e-17
344.86569510937375,13.795837260628875,J2026.10,330,T,3,3.12,3.0814344267841186e-17
